Ref,Val,Package,PosX,PosY,Rot,Side
"C115","1uF","C_0603_1608Metric",334.450000,-103.275000,-90.000000,bottom
"C116","1uF","C_0603_1608Metric",338.450000,-103.275000,-90.000000,bottom
"C117","1uF","C_0603_1608Metric",342.450000,-103.275000,-90.000000,bottom
"C118","1uF","C_0603_1608Metric",346.450000,-103.275000,-90.000000,bottom
"C119","1uF","C_0603_1608Metric",350.450000,-103.275000,-90.000000,bottom
"C120","1uF","C_0603_1608Metric",354.450000,-103.275000,-90.000000,bottom
"C121","1uF","C_0603_1608Metric",358.450000,-103.275000,-90.000000,bottom
"C122","1uF","C_0603_1608Metric",362.450000,-103.275000,-90.000000,bottom
"C123","1uF","C_0603_1608Metric",366.450000,-103.275000,-90.000000,bottom
"C124","1uF","C_0603_1608Metric",370.450000,-103.275000,-90.000000,bottom
"C125","1uF","C_0603_1608Metric",374.450000,-103.275000,-90.000000,bottom
"C126","1uF","C_0603_1608Metric",378.450000,-103.275000,-90.000000,bottom
"C127","1uF","C_0603_1608Metric",382.450000,-103.275000,-90.000000,bottom
"C128","1uF","C_0603_1608Metric",386.450000,-103.275000,-90.000000,bottom
"C129","1uF","C_0603_1608Metric",390.450000,-103.275000,-90.000000,bottom
"C130","1uF","C_0603_1608Metric",394.450000,-103.275000,-90.000000,bottom
"C131","1uF","C_0603_1608Metric",398.450000,-103.275000,-90.000000,bottom
"C132","1uF","C_0603_1608Metric",402.450000,-103.275000,-90.000000,bottom
"C133","1uF","C_0603_1608Metric",406.450000,-103.275000,-90.000000,bottom
"C134","1uF","C_0603_1608Metric",410.450000,-103.275000,-90.000000,bottom
"C135","1uF","C_0603_1608Metric",414.450000,-103.275000,-90.000000,bottom
"C136","1uF","C_0603_1608Metric",418.450000,-103.275000,-90.000000,bottom
"C137","1uF","C_0603_1608Metric",422.450000,-103.275000,-90.000000,bottom
"C138","1uF","C_0603_1608Metric",426.450000,-103.275000,-90.000000,bottom
"C139","1uF","C_0603_1608Metric",430.450000,-103.275000,-90.000000,bottom
"C140","1uF","C_0603_1608Metric",434.450000,-103.275000,-90.000000,bottom
"C141","1uF","C_0603_1608Metric",158.450000,-107.275000,-90.000000,bottom
"C142","1uF","C_0603_1608Metric",162.450000,-107.275000,-90.000000,bottom
"C143","1uF","C_0603_1608Metric",166.450000,-107.275000,-90.000000,bottom
"C144","1uF","C_0603_1608Metric",170.450000,-107.275000,-90.000000,bottom
"C145","1uF","C_0603_1608Metric",174.450000,-107.275000,-90.000000,bottom
"C146","1uF","C_0603_1608Metric",178.450000,-107.275000,-90.000000,bottom
"C147","1uF","C_0603_1608Metric",182.450000,-107.275000,-90.000000,bottom
"C148","1uF","C_0603_1608Metric",186.450000,-107.275000,-90.000000,bottom
"C149","1uF","C_0603_1608Metric",190.450000,-107.275000,-90.000000,bottom
